STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,RIOTS,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2001,101,50,46,9,41,199,78,104,30,1131,16,149,181,1518,4154
ANDHRA PRADESH,ANANTAPUR,2001,151,23,53,8,16,366,168,65,69,1543,7,118,270,754,4125
ANDHRA PRADESH,CHITTOOR,2001,101,27,59,4,14,723,156,209,38,2088,14,112,404,1262,5818
ANDHRA PRADESH,CUDDAPAH,2001,80,20,25,1,4,173,164,37,23,795,17,126,233,1181,3140
ANDHRA PRADESH,EAST GODAVARI,2001,82,23,49,4,25,1021,70,220,41,1244,12,109,431,2313,6507
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,0,0,5,2,162,1,0,0,1,0,1,4,104,287
ANDHRA PRADESH,GUNTUR,2001,182,54,82,16,59,1122,244,300,43,1792,7,139,369,2426,7848
ANDHRA PRADESH,HYDERABAD CITY,2001,111,37,80,13,67,2792,65,1293,0,3137,24,118,409,1512,11831
ANDHRA PRADESH,KARIMNAGAR,2001,162,56,67,27,50,392,220,243,33,1392,62,414,322,1726,5811
ANDHRA PRADESH,KHAMMAM,2001,93,47,41,1,13,368,153,130,73,1026,17,180,209,1450,4582
ANDHRA PRADESH,KRISHNA,2001,65,37,36,3,15,478,70,104,62,1985,10,208,268,862,4779
ANDHRA PRADESH,KURNOOL,2001,133,29,47,6,22,297,84,126,5,1547,13,141,292,1401,4581
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,59,42,8,27,316,157,84,0,867,14,176,280,2158,4819
ANDHRA PRADESH,MEDAK,2001,101,35,26,27,26,286,100,87,37,1367,26,100,335,454,3532
ANDHRA PRADESH,NALGONDA,2001,122,35,27,6,28,318,220,122,72,1132,31,188,432,1781,5002
ANDHRA PRADESH,NELLORE,2001,89,46,90,12,16,608,97,177,65,1119,10,207,266,1585,5245
ANDHRA PRADESH,NIZAMABAD,2001,106,21,38,7,22,234,51,122,30,1383,19,55,220,787,3621
ANDHRA PRADESH,PRAKASHAM,2001,102,19,31,15,14,278,138,88,43,1266,5,140,263,808,3678
ANDHRA PRADESH,RANGA REDDY,2001,214,72,106,24,78,1296,65,527,67,2829,37,113,593,2103,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,0,10,296,1,4,0,17,1,0,6,68,439
ANDHRA PRADESH,SRIKAKULAM,2001,38,8,12,1,4,231,70,53,34,679,6,38,167,926,2572
ANDHRA PRADESH,VIJAYAWADA,2001,53,25,70,3,27,2057,19,614,17,1578,2,84,234,724,6733
